trip_id,timestamp,accel_x,accel_y,accel_z,braking_g,cornering_g
TRIP-873f08-0,2025-09-11 16:37:28,-1.26,2.79,-2.95,0.49,0.34
TRIP-873f08-0,2025-09-11 16:37:30,-0.65,1.58,2.6,0.96,0.46
TRIP-873f08-0,2025-09-11 16:37:32,-2.33,-0.51,-1.5,0.61,0.04
TRIP-873f08-0,2025-09-11 16:37:34,-1.23,1.67,-0.86,0.03,0.05
TRIP-873f08-0,2025-09-11 16:37:36,-0.64,-0.88,-1.22,0.34,0.13
TRIP-873f08-0,2025-09-11 16:37:38,-0.52,-0.62,-1.21,0.88,0.09
TRIP-873f08-0,2025-09-11 16:37:40,2.42,2.9,0.11,0.88,0.47
TRIP-873f08-0,2025-09-11 16:37:42,-2.55,2.73,-2.8,0.42,0.8
TRIP-873f08-0,2025-09-11 16:37:44,0.13,-1.49,-1.11,0.34,0.58
TRIP-873f08-0,2025-09-11 16:37:46,-2.01,-1.9,0.81,0.86,0.99
TRIP-873f08-0,2025-09-11 16:37:48,1.32,-0.11,-1.73,0.99,0.88
TRIP-873f08-0,2025-09-11 16:37:50,-0.89,2.67,-1.56,0.83,0.34
TRIP-873f08-0,2025-09-11 16:37:52,1.89,-0.95,0.25,0.16,0.21
TRIP-873f08-0,2025-09-11 16:37:54,-0.65,-0.89,2.21,0.29,0.79
TRIP-873f08-0,2025-09-11 16:37:56,1.46,-1.2,-2.8,0.8,0.97
TRIP-873f08-0,2025-09-11 16:37:58,-1.87,2.64,-2.85,0.37,0.67
TRIP-873f08-0,2025-09-11 16:38:00,0.13,1.02,-1.09,0.28,0.58
TRIP-873f08-0,2025-09-11 16:38:02,-0.98,1.65,-2.87,0.58,0.58
TRIP-873f08-0,2025-09-11 16:38:04,1.77,-2.41,0.7,0.14,0.87
TRIP-873f08-0,2025-09-11 16:38:06,-2.98,-1.74,-1.79,0.45,0.18
TRIP-873f08-0,2025-09-11 16:38:08,1.97,0.58,2.37,0.46,0.89
TRIP-873f08-0,2025-09-11 16:38:10,-2.76,0.76,-0.21,0.34,0.99
TRIP-873f08-0,2025-09-11 16:38:12,0.06,2.95,2.34,0.5,0.71
TRIP-873f08-0,2025-09-11 16:38:14,-2.74,-0.04,2.04,0.56,0.06
TRIP-873f08-0,2025-09-11 16:38:16,1.16,1.51,1.49,0.61,0.36
TRIP-873f08-0,2025-09-11 16:38:18,-0.53,1.11,-1.74,0.12,0.04
TRIP-873f08-0,2025-09-11 16:38:20,-0.34,-2.67,2.22,0.14,0.8
TRIP-873f08-0,2025-09-11 16:38:22,1.3,-1.49,-1.2,0.48,0.74
TRIP-873f08-0,2025-09-11 16:38:24,-0.3,0.86,2.57,0.99,0.25
TRIP-873f08-0,2025-09-11 16:38:26,-0.21,2.84,2.66,0.49,0.82
TRIP-873f08-0,2025-09-11 16:38:28,-1.66,-1.13,-1.85,0.66,0.44
TRIP-873f08-0,2025-09-11 16:38:30,-2.35,-0.13,2.24,0.14,0.52
TRIP-873f08-0,2025-09-11 16:38:32,0.87,-0.81,-2.08,0.87,0.09
TRIP-873f08-0,2025-09-11 16:38:34,-1.71,-0.66,-2.66,0.89,0.21
TRIP-873f08-0,2025-09-11 16:38:36,-0.19,2.6,2.37,0.09,0.09
TRIP-873f08-0,2025-09-11 16:38:38,1.88,-1.25,-0.67,0.64,0.18
TRIP-873f08-0,2025-09-11 16:38:40,-1.13,-0.2,2.88,0.58,0.77
TRIP-873f08-0,2025-09-11 16:38:42,2.44,-2.34,-2.59,0.89,0.45
TRIP-873f08-0,2025-09-11 16:38:44,2.53,-0.4,-1.63,0.76,0.07
TRIP-873f08-0,2025-09-11 16:38:46,-1.04,1.1,2.87,0.04,0.21
TRIP-873f08-0,2025-09-11 16:38:48,-1.26,1.81,0.25,0.69,0.55
TRIP-873f08-0,2025-09-11 16:38:50,2.2,1.07,-0.19,0.92,0.57
TRIP-873f08-0,2025-09-11 16:38:52,-1.05,-0.2,1.0,0.4,0.88
TRIP-873f08-0,2025-09-11 16:38:54,-2.36,1.84,-0.31,0.03,0.32
TRIP-873f08-0,2025-09-11 16:38:56,-0.47,-2.01,-2.3,0.49,0.39
TRIP-873f08-0,2025-09-11 16:38:58,-2.77,-2.16,-0.21,0.14,1.0
TRIP-873f08-0,2025-09-11 16:39:00,-1.21,0.41,0.33,0.07,0.42
TRIP-873f08-0,2025-09-11 16:39:02,1.93,2.64,1.22,0.11,0.74
TRIP-873f08-0,2025-09-11 16:39:04,-2.65,-1.1,-2.33,0.37,0.57
TRIP-873f08-0,2025-09-11 16:39:06,2.38,-1.01,-2.39,0.14,0.45
TRIP-873f08-1,2025-09-11 16:37:28,0.99,-1.64,1.22,0.1,0.11
TRIP-873f08-1,2025-09-11 16:37:30,-2.57,1.44,-2.59,0.37,0.07
TRIP-873f08-1,2025-09-11 16:37:32,-1.67,-1.02,-1.67,0.25,0.44
TRIP-873f08-1,2025-09-11 16:37:34,-0.51,-0.62,-2.93,0.39,0.24
TRIP-873f08-1,2025-09-11 16:37:36,-1.61,-1.1,-0.15,0.12,0.7
TRIP-873f08-1,2025-09-11 16:37:38,-1.42,0.81,0.6,0.07,0.02
TRIP-873f08-1,2025-09-11 16:37:40,-0.62,0.42,0.35,0.98,0.19
TRIP-873f08-1,2025-09-11 16:37:42,0.93,2.03,0.98,0.22,0.54
TRIP-873f08-1,2025-09-11 16:37:44,1.0,-0.32,2.88,0.78,0.28
TRIP-873f08-1,2025-09-11 16:37:46,-2.37,-2.4,1.36,0.42,0.45
TRIP-873f08-1,2025-09-11 16:37:48,-1.27,-0.82,2.25,0.97,0.11
TRIP-873f08-1,2025-09-11 16:37:50,-0.13,0.75,-2.47,0.11,0.34
TRIP-873f08-1,2025-09-11 16:37:52,-0.03,-0.7,2.18,0.63,0.65
TRIP-873f08-1,2025-09-11 16:37:54,-1.46,-1.74,1.79,0.91,0.4
TRIP-873f08-1,2025-09-11 16:37:56,1.88,2.42,-2.59,0.31,0.61
TRIP-873f08-1,2025-09-11 16:37:58,-2.91,0.16,-2.55,0.7,0.59
TRIP-873f08-1,2025-09-11 16:38:00,-0.03,-1.2,-1.8,0.41,0.33
TRIP-873f08-1,2025-09-11 16:38:02,1.42,1.95,1.92,0.08,0.53
TRIP-873f08-1,2025-09-11 16:38:04,-0.67,-0.07,1.01,0.76,0.65
TRIP-873f08-1,2025-09-11 16:38:06,-2.89,-2.65,-1.85,0.43,0.98
TRIP-873f08-1,2025-09-11 16:38:08,1.23,-0.81,1.84,0.14,0.41
TRIP-873f08-1,2025-09-11 16:38:10,-0.75,0.97,-0.81,0.97,0.06
TRIP-873f08-1,2025-09-11 16:38:12,0.27,-1.8,0.77,0.57,0.84
TRIP-873f08-1,2025-09-11 16:38:14,0.42,0.97,1.72,0.74,0.21
TRIP-873f08-1,2025-09-11 16:38:16,-0.48,2.15,-2.74,0.69,0.21
TRIP-873f08-1,2025-09-11 16:38:18,-2.33,-1.41,1.97,0.05,0.69
TRIP-873f08-1,2025-09-11 16:38:20,1.56,-1.27,0.26,0.12,0.3
TRIP-873f08-1,2025-09-11 16:38:22,-2.52,-2.08,2.48,0.58,0.82
TRIP-873f08-1,2025-09-11 16:38:24,1.54,2.43,-0.56,0.68,0.1
TRIP-873f08-1,2025-09-11 16:38:26,-2.95,1.03,-2.71,0.05,0.47
TRIP-873f08-1,2025-09-11 16:38:28,1.59,2.93,0.12,0.86,0.62
TRIP-873f08-1,2025-09-11 16:38:30,0.97,0.25,0.22,0.69,0.03
TRIP-873f08-1,2025-09-11 16:38:32,-0.28,-0.03,-1.99,0.13,0.19
TRIP-873f08-1,2025-09-11 16:38:34,0.1,1.14,0.14,0.24,0.5
TRIP-873f08-1,2025-09-11 16:38:36,2.87,2.33,-2.27,0.43,0.46
TRIP-873f08-1,2025-09-11 16:38:38,0.21,0.24,-2.17,0.27,0.95
TRIP-873f08-1,2025-09-11 16:38:40,1.63,2.92,-0.32,0.53,0.31
TRIP-873f08-1,2025-09-11 16:38:42,-0.17,-0.86,-1.69,0.84,0.57
TRIP-873f08-1,2025-09-11 16:38:44,2.89,-2.66,-1.55,0.35,0.99
TRIP-873f08-1,2025-09-11 16:38:46,-0.7,2.19,1.89,0.02,0.44
TRIP-873f08-1,2025-09-11 16:38:48,1.45,1.27,2.69,0.89,0.69
TRIP-873f08-1,2025-09-11 16:38:50,0.84,2.15,1.83,0.44,0.05
TRIP-873f08-1,2025-09-11 16:38:52,-0.63,2.87,-2.65,0.69,0.65
TRIP-873f08-1,2025-09-11 16:38:54,1.35,1.31,2.74,0.5,0.2
