model,fpr,tpr
RandomForest,0.0,0.0
RandomForest,0.0,0.01
RandomForest,0.0,0.51
RandomForest,0.01,0.51
RandomForest,0.01,0.57
RandomForest,0.02,0.57
RandomForest,0.02,0.6
RandomForest,0.03,0.6
RandomForest,0.03,0.61
RandomForest,0.04,0.61
RandomForest,0.04,0.67
RandomForest,0.06,0.67
RandomForest,0.06,0.68
RandomForest,0.07,0.68
RandomForest,0.07,0.69
RandomForest,0.08,0.69
RandomForest,0.08,0.7
RandomForest,0.09,0.7
RandomForest,0.09,0.75
RandomForest,0.1,0.75
RandomForest,0.1,0.76
RandomForest,0.13,0.76
RandomForest,0.13,0.78
RandomForest,0.14,0.78
RandomForest,0.14,0.79
RandomForest,0.17,0.79
RandomForest,0.17,0.83
RandomForest,0.18,0.83
RandomForest,0.18,0.85
RandomForest,0.19,0.85
RandomForest,0.19,0.88
RandomForest,0.3,0.88
RandomForest,0.3,0.89
RandomForest,0.31,0.89
RandomForest,0.31,0.9
RandomForest,0.35,0.9
RandomForest,0.35,0.92
RandomForest,0.43,0.92
RandomForest,0.43,0.93
RandomForest,0.51,0.93
RandomForest,0.51,0.94
RandomForest,0.64,0.94
RandomForest,0.64,0.95
RandomForest,0.67,0.95
RandomForest,0.67,0.96
RandomForest,0.73,0.96
RandomForest,0.73,0.98
RandomForest,0.8,0.98
RandomForest,0.8,0.99
RandomForest,0.82,0.99
RandomForest,0.89,0.99
RandomForest,0.89,1.0
RandomForest,1.0,1.0
LSTM,0.0,0.0
LSTM,0.0,0.01
LSTM,0.01,0.01
LSTM,0.01,0.02
LSTM,0.03,0.02
LSTM,0.03,0.04
LSTM,0.06,0.04
LSTM,0.06,0.05
LSTM,0.07,0.05
LSTM,0.07,0.06
LSTM,0.08,0.06
LSTM,0.08,0.07
LSTM,0.12,0.07
LSTM,0.12,0.09
LSTM,0.13,0.09
LSTM,0.13,0.11
LSTM,0.15,0.11
LSTM,0.15,0.13
LSTM,0.16,0.13
LSTM,0.16,0.14
LSTM,0.17,0.14
LSTM,0.17,0.15
LSTM,0.18,0.15
LSTM,0.18,0.17
LSTM,0.19,0.17
LSTM,0.19,0.18
LSTM,0.21,0.18
LSTM,0.21,0.19
LSTM,0.22,0.19
LSTM,0.22,0.2
LSTM,0.24,0.2
LSTM,0.24,0.21
LSTM,0.25,0.21
LSTM,0.25,0.24
LSTM,0.27,0.24
LSTM,0.27,0.27
LSTM,0.28,0.27
LSTM,0.28,0.29
