driver_id,predicted_risk_prob,predicted_risk_class
873f0854-c9ae-4e3c-b04e-e59d9cf28c77,0.37,Low
95562c96-f0fe-4d18-b65e-7ab20d677443,0.95,Medium
6320210b-5a7d-429a-b3b2-6009ef316d64,0.73,High
0d668988-55bf-47f7-b92c-6f40ac2fa419,0.6,High
226b8b91-7576-45ff-ad3b-e75f7be67236,0.16,High
ee2ebdb6-4463-4c18-8563-361ad645ab85,0.16,Low
1f92be92-d590-4867-bfaa-a6992aa4396d,0.06,Medium
b68ed926-34da-47e0-9078-4f1eb2336b91,0.87,Medium
7fa981da-07c2-456c-a4a7-4fbfdb5522f1,0.6,Medium
f26713ae-917f-4a78-ae6e-b853afb6a84c,0.71,High
617530ae-f3bd-4823-9dad-d4718ad5e564,0.02,Low
62d8edb5-1521-4c96-abcc-d1039c6ce0d5,0.97,High
ba098529-3f0a-4c8b-9f5a-960e892f884a,0.83,High
b6b842c9-6409-4da2-af8e-c32135882c69,0.21,Medium
3ac54ba1-24ec-4c46-9ec8-3a3767908cb0,0.18,High
14f12100-d202-4943-9631-27801ac5e8b0,0.18,Medium
b1004962-0ea3-4c60-ac32-41c76a1c09ed,0.3,Low
4f057204-cb17-480d-a4cc-531bed0d2773,0.52,Medium
f6118f94-91ea-450d-92df-9eba9bfbbb04,0.43,Low
a19777e9-aa8a-4988-9250-6f8753442ac2,0.29,Medium
9a4e68ce-f3d7-4547-ae27-a58e13df63da,0.61,High
c501ac66-440f-4a49-8dc2-1e7d9fadc22b,0.14,High
04d73847-cf60-4f76-9c28-f8493f3efd17,0.29,Low
6936490e-dc03-41f7-a0a0-2a675a88bf14,0.37,Low
d8de7bf3-df50-4d81-a569-b93ddf294d50,0.46,Low
752ee9d0-bb90-4020-9411-0ae44caebbff,0.79,Medium
9e145d2a-dbd7-4a17-97a1-a5c31d5e5b61,0.2,Medium
c1fe397f-a5db-4059-b19d-021624598c79,0.51,Low
faceec0e-a231-4367-879a-e08ef9c28a73,0.59,High
cf82dd0f-c696-4b53-820e-129a3ecf968b,0.05,Medium
5d8cd350-df75-4c4a-8e07-fba568487399,0.61,Medium
e372eee1-42e5-47a8-b821-9e288462dd87,0.17,Medium
7014fe56-1c38-4f15-b434-1ae709d82274,0.07,Low
d2f91ecb-d36e-457a-be0c-607f828a6f31,0.95,Low
7359417b-9d17-417f-bea7-b6b0b6788017,0.97,Low
3f185362-85e8-41ae-bf30-1b33ad1de847,0.81,Low
3057145d-1557-4f50-a4bc-4b71260e13de,0.3,Low
0083fb0e-9c8d-466a-a31a-eec4a636e2b2,0.1,High
bdcff929-e127-440d-b7f9-9d189a67062e,0.68,High
2ccc082a-6cf7-4190-9cce-23de6cd7bb76,0.44,Low
999e3e19-96cf-42df-b71d-46989007c4a5,0.12,Medium
1d1813ec-3a2f-45b9-bc38-fb275ad68b37,0.5,Low
55d6e10c-ecb3-4055-9e4f-355535c275fe,0.03,High
cfd12350-72ce-4f19-b483-007da7effddc,0.91,High
6976de76-93d8-4c32-a079-edc46ebc3b8b,0.26,Medium
902bd80a-e711-4d8c-8692-788197976e1d,0.66,High
6e6b09ff-07fd-47f5-85b7-3bf944deb997,0.31,Low
80c9d182-4fa1-4fd7-bb7b-90d40efbfa42,0.52,Medium
e42b271e-0470-46e3-b463-2111d63bdf38,0.55,Low
bbf7a1e8-92d4-4825-89cf-fe0778583924,0.18,Low
77f2a331-aa2e-48e8-a7fa-504c6cd66041,0.97,Medium
0e8afccb-5a92-4c3b-8e2b-f46a17eef950,0.78,Low
06558e1b-c28d-47ab-a54c-6bf9dc36746b,0.94,High
37074067-0bd7-4967-9db6-02c73951deab,0.89,Low
493cfb40-4f9e-42f3-8b5a-34d93d26042d,0.6,Medium
ebfa028a-ceca-48a0-aaaf-b11dd261bc42,0.92,Medium
a147620b-82ef-40e8-b08a-966b3971a110,0.09,Medium
