event_id,trip_id,timestamp,event_type,event_value,severity_level,phone_interaction_type
EVT-TRIP-873-0,TRIP-873f08-0,2025-09-11 16:37:28,DISTRACTION,1.34,4,TEXT
EVT-TRIP-873-1,TRIP-873f08-0,2025-09-11 16:37:38,HARD_BRAKE,1.22,1,TEXT
EVT-TRIP-873-0,TRIP-873f08-1,2025-09-11 16:37:28,DISTRACTION,0.92,5,NONE
EVT-TRIP-873-1,TRIP-873f08-1,2025-09-11 16:37:38,HARD_BRAKE,1.49,4,NONE
EVT-TRIP-873-2,TRIP-873f08-1,2025-09-11 16:37:48,HARD_BRAKE,0.68,1,CALL
EVT-TRIP-873-0,TRIP-873f08-2,2025-09-11 16:37:28,SPEEDING,1.28,3,APP
EVT-TRIP-873-1,TRIP-873f08-2,2025-09-11 16:37:38,HARD_BRAKE,0.61,3,CALL
EVT-TRIP-873-2,TRIP-873f08-2,2025-09-11 16:37:48,SPEEDING,1.23,4,TEXT
EVT-TRIP-955-0,TRIP-95562c-0,2025-09-11 16:37:28,DISTRACTION,1.1,3,APP
EVT-TRIP-955-1,TRIP-95562c-0,2025-09-11 16:37:38,SPEEDING,0.65,1,NONE
EVT-TRIP-955-0,TRIP-95562c-1,2025-09-11 16:37:28,SPEEDING,1.34,2,APP
EVT-TRIP-955-1,TRIP-95562c-1,2025-09-11 16:37:38,HARD_BRAKE,1.01,5,NONE
EVT-TRIP-955-2,TRIP-95562c-1,2025-09-11 16:37:48,SPEEDING,0.92,2,TEXT
EVT-TRIP-955-3,TRIP-95562c-1,2025-09-11 16:37:58,DISTRACTION,1.34,4,TEXT
EVT-TRIP-955-4,TRIP-95562c-1,2025-09-11 16:38:08,HARD_BRAKE,0.87,5,APP
EVT-TRIP-955-0,TRIP-95562c-2,2025-09-11 16:37:28,DISTRACTION,0.73,4,NONE
EVT-TRIP-955-1,TRIP-95562c-2,2025-09-11 16:37:38,SPEEDING,1.14,2,CALL
EVT-TRIP-632-0,TRIP-632021-0,2025-09-11 16:37:28,SPEEDING,1.26,2,NONE
EVT-TRIP-632-1,TRIP-632021-0,2025-09-11 16:37:38,DISTRACTION,0.75,3,CALL
EVT-TRIP-632-2,TRIP-632021-0,2025-09-11 16:37:48,SPEEDING,0.51,3,CALL
EVT-TRIP-632-3,TRIP-632021-0,2025-09-11 16:37:58,HARD_BRAKE,0.95,3,CALL
EVT-TRIP-632-4,TRIP-632021-0,2025-09-11 16:38:08,SPEEDING,1.1,5,APP
EVT-TRIP-632-0,TRIP-632021-1,2025-09-11 16:37:28,DISTRACTION,0.88,1,NONE
EVT-TRIP-632-1,TRIP-632021-1,2025-09-11 16:37:38,SPEEDING,0.76,1,TEXT
EVT-TRIP-632-2,TRIP-632021-1,2025-09-11 16:37:48,HARD_BRAKE,0.57,2,CALL
EVT-TRIP-632-0,TRIP-632021-2,2025-09-11 16:37:28,SPEEDING,0.87,1,CALL
EVT-TRIP-632-1,TRIP-632021-2,2025-09-11 16:37:38,SPEEDING,1.27,4,CALL
EVT-TRIP-632-2,TRIP-632021-2,2025-09-11 16:37:48,HARD_BRAKE,0.77,3,APP
EVT-TRIP-632-3,TRIP-632021-2,2025-09-11 16:37:58,DISTRACTION,0.84,2,NONE
EVT-TRIP-632-4,TRIP-632021-2,2025-09-11 16:38:08,DISTRACTION,1.04,4,NONE
EVT-TRIP-0d6-0,TRIP-0d6689-0,2025-09-11 16:37:28,HARD_BRAKE,0.8,1,APP
EVT-TRIP-0d6-1,TRIP-0d6689-0,2025-09-11 16:37:38,DISTRACTION,1.42,4,TEXT
EVT-TRIP-0d6-2,TRIP-0d6689-0,2025-09-11 16:37:48,DISTRACTION,1.22,2,APP
EVT-TRIP-0d6-0,TRIP-0d6689-1,2025-09-11 16:37:28,DISTRACTION,0.86,3,TEXT
EVT-TRIP-0d6-1,TRIP-0d6689-1,2025-09-11 16:37:38,DISTRACTION,1.36,3,CALL
EVT-TRIP-0d6-2,TRIP-0d6689-1,2025-09-11 16:37:48,HARD_BRAKE,1.03,5,NONE
