record_id,trip_id,timestamp,traffic_density,road_condition,accident_rate_area,crime_index_area
059c6ae9-860d-4851-9008-cd7eb098186d,TRIP-873f08-0,2025-09-03 16:44:34,Medium,Construction,0.185,43
8cc8c1d0-9588-4e6b-b87b-3cc20d0af097,TRIP-873f08-1,2025-08-20 17:08:34,Medium,Construction,0.098,86
6cefbf7f-72c8-4aee-9862-e43ef5494421,TRIP-873f08-2,2025-08-28 18:06:34,Low,Construction,0.055,89
1025b4af-05f0-4b74-a0c7-ee77770c1452,TRIP-95562c-0,2025-08-24 17:13:34,High,Good,0.192,72
2daeed6c-5753-43c3-8616-a9596d32a93a,TRIP-95562c-1,2025-08-22 17:15:34,Low,Potholes,0.209,23
cad7915e-bac6-44ac-9f06-055f6e257909,TRIP-95562c-2,2025-08-27 17:23:34,Low,Good,0.228,21
205b3f59-9470-4223-b8e4-4d0b0e8b068f,TRIP-632021-0,2025-09-08 18:27:34,Medium,Good,0.157,44
a6978cbc-e059-40ce-8454-e7448672b3f0,TRIP-632021-1,2025-08-20 16:54:34,High,Construction,0.119,57
2f01bf25-4115-4d6a-aeb2-d767b8a43c58,TRIP-632021-2,2025-08-26 17:25:34,High,Construction,0.183,57
b9bbc4dc-4281-429c-adab-d193e33db8d1,TRIP-0d6689-0,2025-08-17 16:52:34,High,Potholes,0.083,26
251b8fd4-093e-42a3-b13b-a9d3538af1d3,TRIP-0d6689-1,2025-09-02 18:20:34,High,Potholes,0.241,25
1619c113-f551-494a-8674-8e8b7753ae7a,TRIP-0d6689-2,2025-08-15 17:11:34,Low,Construction,0.071,63
dbf0c084-0e1f-4986-99e9-a43fab9c3c48,TRIP-226b8b-0,2025-09-03 17:16:34,Medium,Good,0.052,74
020fa65f-f841-4646-8195-fe6320b0f2e4,TRIP-226b8b-1,2025-09-09 17:54:34,Medium,Construction,0.075,45
6b75784b-e4e7-4ddb-86f4-b29e5b61437d,TRIP-226b8b-2,2025-08-12 17:09:34,High,Potholes,0.095,65
7e94744a-c677-4adc-8f6d-5dec88f0c50d,TRIP-ee2ebd-0,2025-08-29 16:51:34,Medium,Potholes,0.186,66
98b50c7b-ac88-41c6-b7d0-0236022cbb58,TRIP-ee2ebd-1,2025-08-12 17:46:34,Low,Potholes,0.219,25
d3559368-52e9-45c3-99dd-6d53b3012e32,TRIP-ee2ebd-2,2025-08-16 18:25:34,Medium,Potholes,0.166,34
a6fc35ff-d48b-420e-a864-2863ad9266e0,TRIP-1f92be-0,2025-08-14 18:03:34,Low,Good,0.111,33
f9005766-f190-49fe-b318-e78a684bdb51,TRIP-1f92be-1,2025-08-23 17:26:34,High,Potholes,0.126,50
b1943bcd-0911-4602-8f00-b0c4c337b362,TRIP-1f92be-2,2025-08-21 18:10:34,Low,Good,0.206,41
5d27a479-13e9-4e85-a286-cd61417fb2db,TRIP-b68ed9-0,2025-09-07 17:37:34,Low,Construction,0.122,81
e3d78856-b78f-42a0-b4bb-0c5a2bb1f114,TRIP-b68ed9-1,2025-09-03 16:59:34,Low,Construction,0.179,81
dcdec68c-815b-4424-9f37-6c5a04a6d91f,TRIP-b68ed9-2,2025-09-09 18:15:34,Medium,Construction,0.111,84
5bac8064-0d65-4981-be19-bfa0ed9c6473,TRIP-7fa981-0,2025-08-22 16:59:34,High,Good,0.087,36
ab1ea916-8ed7-4a61-a9ce-e8b950735447,TRIP-7fa981-1,2025-08-21 17:17:34,Medium,Potholes,0.077,30
e2471e8a-0110-4a06-b7a9-011d92564be6,TRIP-7fa981-2,2025-08-12 17:31:34,High,Potholes,0.162,88
834205cb-3484-4557-89c1-e3824e9e6414,TRIP-f26713-0,2025-09-09 17:46:34,Low,Construction,0.245,51
d6760aa7-dcbd-40a7-a8fa-0ebfb0ead6a4,TRIP-f26713-1,2025-09-08 18:42:34,High,Potholes,0.068,88
9e379027-5526-4469-8ed0-a0f347161bc1,TRIP-f26713-2,2025-08-25 17:13:34,Medium,Potholes,0.085,50
e8961910-f0ea-4318-94dd-279a8a0d1a7a,TRIP-617530-0,2025-08-15 18:31:34,High,Good,0.235,24
3d3a5f55-15aa-4d21-a0d5-f451da0763ba,TRIP-617530-1,2025-08-23 18:16:34,Low,Potholes,0.169,67
829f6949-3ad1-4403-9f70-e0589ce2c16b,TRIP-617530-2,2025-09-05 16:50:34,High,Construction,0.165,51
f1a749bd-c440-457b-af94-891501a7c9f9,TRIP-62d8ed-0,2025-08-27 18:35:34,Low,Construction,0.175,86
55af88d4-d83b-4711-8338-f8c1fe483e8e,TRIP-62d8ed-1,2025-08-26 18:24:34,Medium,Construction,0.053,63
cfc000ac-f866-46a8-b87a-9d59fe514bee,TRIP-62d8ed-2,2025-08-15 17:40:34,Medium,Good,0.14,27
6dd3471e-b8cd-4691-b2b3-c98621eefe56,TRIP-ba0985-0,2025-09-05 17:36:34,Medium,Potholes,0.063,48
b7c245ff-db21-444d-ad33-519d880d06fa,TRIP-ba0985-1,2025-08-23 18:30:34,Low,Potholes,0.176,46
5b77bde4-34f8-48c1-ac38-bf1c240779c0,TRIP-ba0985-2,2025-09-09 18:34:34,High,Potholes,0.094,50
e1597b10-8f5e-4993-a127-2fde30a1074e,TRIP-b6b842-0,2025-08-25 17:48:34,Low,Good,0.218,42
e9e40bb6-1a5a-499e-a6e5-359d330f8bc8,TRIP-b6b842-1,2025-09-04 17:40:34,Low,Potholes,0.22,36
38807827-af25-454f-b61a-3088f751ee1b,TRIP-b6b842-2,2025-08-22 17:44:34,High,Good,0.193,42
224651b2-e4ba-4ab6-939b-0bce291aac13,TRIP-3ac54b-0,2025-09-09 18:41:34,Medium,Construction,0.137,78
8ebfbbaa-b7e7-4e62-8b24-564bb7bf7203,TRIP-3ac54b-1,2025-08-31 18:36:34,Medium,Good,0.202,28
1d5290c5-c17e-4fd7-bb4a-ff6c5c9836ef,TRIP-3ac54b-2,2025-09-06 16:51:34,Low,Potholes,0.158,63
7349b1c2-b24f-48a6-b68d-3f4479beb38c,TRIP-14f121-0,2025-09-04 17:04:34,Low,Potholes,0.159,26
4fe4ea60-d140-4e73-ab61-745ea0f2e53c,TRIP-14f121-1,2025-08-25 17:41:34,High,Potholes,0.087,69
d7601923-b168-4a1b-97f4-c463a886a625,TRIP-14f121-2,2025-09-10 17:34:34,Medium,Potholes,0.208,25
96b1b14e-d510-4000-b612-1fbded33f4b3,TRIP-b10049-0,2025-09-09 18:13:34,High,Construction,0.181,69
154b1ddf-717e-4da8-9329-4ad5db7987ba,TRIP-b10049-1,2025-08-29 17:49:34,Low,Good,0.078,89
24f462e3-d2c1-4212-9329-f3a2d2e5c501,TRIP-b10049-2,2025-09-11 17:28:34,Low,Potholes,0.111,61
af31cf3e-29ae-4a16-b06e-143638d464ca,TRIP-4f0572-0,2025-08-16 17:43:34,High,Good,0.122,22
eac142b8-820e-47e5-bf1a-3dc301ff2a3a,TRIP-4f0572-1,2025-09-03 17:38:34,High,Good,0.071,46
88fd00fc-87d5-4825-a6f4-a6fd7dcbffe9,TRIP-4f0572-2,2025-08-28 18:35:34,Medium,Good,0.133,20
a2d4fe9c-ef98-4a2d-b593-0ebc1d720562,TRIP-f6118f-0,2025-08-12 17:18:34,Low,Good,0.238,20
a7f6de94-a289-49f5-874b-10c48ab6c4d2,TRIP-f6118f-1,2025-09-01 17:50:34,Medium,Potholes,0.133,63
a5c37e89-dbb3-41d1-8c65-4d29ee4f3a6f,TRIP-f6118f-2,2025-08-27 17:10:34,High,Construction,0.129,68
dfc75948-c312-40e2-a398-dd8fe54fa6ee,TRIP-a19777-0,2025-08-26 17:40:34,High,Good,0.109,50
0c922369-c05b-4c3a-b173-17ef878c6339,TRIP-a19777-1,2025-08-18 18:13:34,Low,Good,0.136,60
29f47d2e-3e56-4fd5-8815-3e9cb9766065,TRIP-a19777-2,2025-08-25 18:23:34,Medium,Construction,0.095,26
807cd4ec-9ae1-47e1-a6ff-63f09cec2c29,TRIP-9a4e68-0,2025-09-06 17:36:34,Low,Good,0.221,51
c5739dcf-d433-4179-941e-4abbefb65ebb,TRIP-9a4e68-1,2025-08-22 17:49:34,Low,Potholes,0.126,63
cbfa37c3-7285-4254-90ca-1afdfd917bd0,TRIP-9a4e68-2,2025-08-23 17:01:34,High,Good,0.174,72
eecd750d-675e-4047-805d-0297625400df,TRIP-c501ac-0,2025-09-03 17:51:34,Medium,Good,0.078,35
9da78fd9-e437-41c4-b290-a86771204709,TRIP-c501ac-1,2025-08-12 18:07:34,Medium,Potholes,0.222,77
bca88105-793b-4976-bcf5-54f812576f46,TRIP-c501ac-2,2025-09-07 17:12:34,High,Potholes,0.211,64
f940acd8-8334-4ce5-97ec-0951e827b197,TRIP-04d738-0,2025-08-17 17:39:34,High,Construction,0.228,77
d62f3eb4-3b00-43e7-bd99-f44890af4950,TRIP-04d738-1,2025-08-16 18:34:34,Low,Good,0.239,28
1dc70612-f271-4098-8e41-77b87c2e3462,TRIP-04d738-2,2025-09-11 18:22:34,Low,Good,0.101,76
fc495958-97f4-442e-a754-ca8303c55c01,TRIP-693649-0,2025-08-22 18:42:34,High,Good,0.093,36
b7a2ac1d-f616-481a-8c94-6b5b591a6e8d,TRIP-693649-1,2025-08-18 17:05:34,Medium,Construction,0.08,90
ecf351e5-cfbc-4363-93c8-ab8059c2081a,TRIP-693649-2,2025-09-07 18:11:34,Medium,Good,0.101,71
33cb85ba-a097-42bc-840c-bdc3190adb4d,TRIP-d8de7b-0,2025-08-22 18:20:34,High,Potholes,0.154,34
68d594c2-5c6e-4da6-b971-86914912ef55,TRIP-d8de7b-1,2025-08-20 17:43:34,Medium,Potholes,0.204,26
ea4bb5d8-463d-43ea-9d00-580ed1e20b74,TRIP-d8de7b-2,2025-09-11 18:01:34,High,Potholes,0.232,69
a36a96ba-1fdd-43d8-b5d2-f84a39845a50,TRIP-752ee9-0,2025-08-20 18:16:34,Low,Potholes,0.114,40
96c27256-8d69-403a-8106-4e0975c214f6,TRIP-752ee9-1,2025-08-12 17:59:34,Low,Construction,0.125,89
154b3b2a-f61f-41cf-99fd-0f63fbfdf6bb,TRIP-752ee9-2,2025-08-29 17:23:34,High,Potholes,0.075,86
76ac0d96-9bf1-4c00-8c36-a6066deaf99a,TRIP-9e145d-0,2025-08-23 17:22:34,Low,Construction,0.065,56
61e86e38-bbf1-4ad1-aa10-fe9bffd79c40,TRIP-9e145d-1,2025-09-01 17:49:34,High,Potholes,0.053,46
f8d23063-ea0b-4e0f-9987-506e4db073a8,TRIP-9e145d-2,2025-09-10 18:10:34,Low,Good,0.171,37
2b482322-503f-4df6-82bf-87f099242080,TRIP-c1fe39-0,2025-08-21 18:18:34,Medium,Construction,0.065,69
e5df1a65-8b7d-4391-bce4-ae5faf12f0e1,TRIP-c1fe39-1,2025-08-28 17:50:34,High,Construction,0.19,59
c0c1cb15-746b-48ba-a5f7-aeedb9457179,TRIP-c1fe39-2,2025-09-11 18:40:34,Low,Potholes,0.075,49
d3b685f9-6a1b-4614-b416-0bc1f6f7735e,TRIP-faceec-0,2025-09-08 17:55:34,Medium,Potholes,0.098,51
