feature,importance
claims_count,0.5241036166939198
max_speed,0.04009877986449112
avg_cornering,0.0316792638736069
avg_speed,0.031668533221906575
avg_accel,0.03084003972954253
avg_distance,0.02980614962840592
age,0.02969390966068174
accident_rate_area,0.02930546859679385
route_familiarity,0.028345742825383626
count_HARD_BRAKE,0.02673784504742364
avg_braking,0.02655721345637176
night_driving_pct,0.026360528745186226
count_SPEEDING,0.02419349908799375
count_DISTRACTION,0.022897979823382108
risk_score,0.022199537800695786
total_trips,0.02168342482094634
crime_index_area,0.01894590826122691
avg_duration,0.018249695731854577
vehicle_age,0.016632863130186994
