policy_id,driver_id,vehicle_id,coverage_type,premium_amount,last_updated
POL-873f0854,873f0854-c9ae-4e3c-b04e-e59d9cf28c77,VEH-7107,Premium,877.35,2025-09-11 16:37:28
POL-95562c96,95562c96-f0fe-4d18-b65e-7ab20d677443,VEH-3623,Standard,1360.71,2025-09-11 16:37:28
POL-6320210b,6320210b-5a7d-429a-b3b2-6009ef316d64,VEH-8841,Basic,1045.96,2025-09-11 16:37:28
POL-0d668988,0d668988-55bf-47f7-b92c-6f40ac2fa419,VEH-8232,Basic,1195.22,2025-09-11 16:37:28
POL-226b8b91,226b8b91-7576-45ff-ad3b-e75f7be67236,VEH-8961,Premium,648.0,2025-09-11 16:37:28
POL-ee2ebdb6,ee2ebdb6-4463-4c18-8563-361ad645ab85,VEH-2725,Standard,1149.23,2025-09-11 16:37:28
POL-1f92be92,1f92be92-d590-4867-bfaa-a6992aa4396d,VEH-3244,Premium,1492.1,2025-09-11 16:37:28
POL-b68ed926,b68ed926-34da-47e0-9078-4f1eb2336b91,VEH-9234,Basic,653.21,2025-09-11 16:37:28
POL-7fa981da,7fa981da-07c2-456c-a4a7-4fbfdb5522f1,VEH-7132,Standard,1167.87,2025-09-11 16:37:28
POL-f26713ae,f26713ae-917f-4a78-ae6e-b853afb6a84c,VEH-7058,Standard,1429.3,2025-09-11 16:37:28
POL-617530ae,617530ae-f3bd-4823-9dad-d4718ad5e564,VEH-9165,Basic,1204.28,2025-09-11 16:37:28
POL-62d8edb5,62d8edb5-1521-4c96-abcc-d1039c6ce0d5,VEH-2728,Basic,1490.97,2025-09-11 16:37:28
POL-ba098529,ba098529-3f0a-4c8b-9f5a-960e892f884a,VEH-6399,Premium,1467.81,2025-09-11 16:37:28
POL-b6b842c9,b6b842c9-6409-4da2-af8e-c32135882c69,VEH-5416,Standard,797.78,2025-09-11 16:37:28
POL-3ac54ba1,3ac54ba1-24ec-4c46-9ec8-3a3767908cb0,VEH-2902,Standard,1075.56,2025-09-11 16:37:28
POL-14f12100,14f12100-d202-4943-9631-27801ac5e8b0,VEH-8691,Basic,1465.32,2025-09-11 16:37:28
POL-b1004962,b1004962-0ea3-4c60-ac32-41c76a1c09ed,VEH-1779,Basic,746.49,2025-09-11 16:37:28
POL-4f057204,4f057204-cb17-480d-a4cc-531bed0d2773,VEH-9584,Basic,723.7,2025-09-11 16:37:28
POL-f6118f94,f6118f94-91ea-450d-92df-9eba9bfbbb04,VEH-4456,Premium,839.55,2025-09-11 16:37:28
POL-a19777e9,a19777e9-aa8a-4988-9250-6f8753442ac2,VEH-4062,Basic,700.46,2025-09-11 16:37:28
POL-9a4e68ce,9a4e68ce-f3d7-4547-ae27-a58e13df63da,VEH-5985,Premium,1287.22,2025-09-11 16:37:28
POL-c501ac66,c501ac66-440f-4a49-8dc2-1e7d9fadc22b,VEH-4191,Standard,1102.97,2025-09-11 16:37:28
POL-04d73847,04d73847-cf60-4f76-9c28-f8493f3efd17,VEH-6178,Standard,870.79,2025-09-11 16:37:28
POL-6936490e,6936490e-dc03-41f7-a0a0-2a675a88bf14,VEH-3126,Standard,1393.27,2025-09-11 16:37:28
POL-d8de7bf3,d8de7bf3-df50-4d81-a569-b93ddf294d50,VEH-2798,Standard,686.56,2025-09-11 16:37:28
POL-752ee9d0,752ee9d0-bb90-4020-9411-0ae44caebbff,VEH-8290,Basic,1110.37,2025-09-11 16:37:28
POL-9e145d2a,9e145d2a-dbd7-4a17-97a1-a5c31d5e5b61,VEH-9708,Premium,1102.9,2025-09-11 16:37:28
POL-c1fe397f,c1fe397f-a5db-4059-b19d-021624598c79,VEH-1161,Premium,1399.29,2025-09-11 16:37:28
POL-faceec0e,faceec0e-a231-4367-879a-e08ef9c28a73,VEH-9609,Premium,784.96,2025-09-11 16:37:28
POL-cf82dd0f,cf82dd0f-c696-4b53-820e-129a3ecf968b,VEH-6527,Premium,746.59,2025-09-11 16:37:28
POL-5d8cd350,5d8cd350-df75-4c4a-8e07-fba568487399,VEH-6608,Standard,696.32,2025-09-11 16:37:28
POL-e372eee1,e372eee1-42e5-47a8-b821-9e288462dd87,VEH-2330,Premium,1232.97,2025-09-11 16:37:28
POL-7014fe56,7014fe56-1c38-4f15-b434-1ae709d82274,VEH-8230,Standard,1048.26,2025-09-11 16:37:28
POL-d2f91ecb,d2f91ecb-d36e-457a-be0c-607f828a6f31,VEH-2478,Standard,1186.98,2025-09-11 16:37:28
POL-7359417b,7359417b-9d17-417f-bea7-b6b0b6788017,VEH-8369,Premium,852.86,2025-09-11 16:37:28
POL-3f185362,3f185362-85e8-41ae-bf30-1b33ad1de847,VEH-2378,Standard,939.17,2025-09-11 16:37:28
POL-3057145d,3057145d-1557-4f50-a4bc-4b71260e13de,VEH-9006,Standard,1297.97,2025-09-11 16:37:28
POL-0083fb0e,0083fb0e-9c8d-466a-a31a-eec4a636e2b2,VEH-5763,Premium,705.99,2025-09-11 16:37:28
POL-bdcff929,bdcff929-e127-440d-b7f9-9d189a67062e,VEH-2959,Basic,1032.76,2025-09-11 16:37:28
POL-2ccc082a,2ccc082a-6cf7-4190-9cce-23de6cd7bb76,VEH-2376,Standard,1008.15,2025-09-11 16:37:28
POL-999e3e19,999e3e19-96cf-42df-b71d-46989007c4a5,VEH-8510,Premium,1020.58,2025-09-11 16:37:28
POL-1d1813ec,1d1813ec-3a2f-45b9-bc38-fb275ad68b37,VEH-4532,Basic,1030.42,2025-09-11 16:37:28
POL-55d6e10c,55d6e10c-ecb3-4055-9e4f-355535c275fe,VEH-1179,Premium,1343.45,2025-09-11 16:37:28
POL-cfd12350,cfd12350-72ce-4f19-b483-007da7effddc,VEH-8766,Premium,814.3,2025-09-11 16:37:28
POL-6976de76,6976de76-93d8-4c32-a079-edc46ebc3b8b,VEH-9035,Premium,983.59,2025-09-11 16:37:28
POL-902bd80a,902bd80a-e711-4d8c-8692-788197976e1d,VEH-6031,Standard,718.69,2025-09-11 16:37:28
POL-6e6b09ff,6e6b09ff-07fd-47f5-85b7-3bf944deb997,VEH-9315,Basic,1261.23,2025-09-11 16:37:28
POL-80c9d182,80c9d182-4fa1-4fd7-bb7b-90d40efbfa42,VEH-7534,Standard,1033.13,2025-09-11 16:37:28
POL-e42b271e,e42b271e-0470-46e3-b463-2111d63bdf38,VEH-2140,Basic,1043.66,2025-09-11 16:37:28
POL-bbf7a1e8,bbf7a1e8-92d4-4825-89cf-fe0778583924,VEH-8751,Premium,949.38,2025-09-11 16:37:28
POL-77f2a331,77f2a331-aa2e-48e8-a7fa-504c6cd66041,VEH-1457,Basic,1446.34,2025-09-11 16:37:28
POL-0e8afccb,0e8afccb-5a92-4c3b-8e2b-f46a17eef950,VEH-8132,Premium,757.75,2025-09-11 16:37:28
POL-06558e1b,06558e1b-c28d-47ab-a54c-6bf9dc36746b,VEH-1032,Standard,1028.49,2025-09-11 16:37:28
POL-37074067,37074067-0bd7-4967-9db6-02c73951deab,VEH-3417,Standard,859.93,2025-09-11 16:37:28
POL-493cfb40,493cfb40-4f9e-42f3-8b5a-34d93d26042d,VEH-8834,Premium,760.57,2025-09-11 16:37:28
POL-ebfa028a,ebfa028a-ceca-48a0-aaaf-b11dd261bc42,VEH-7435,Premium,785.53,2025-09-11 16:37:28
POL-a147620b,a147620b-82ef-40e8-b08a-966b3971a110,VEH-6378,Premium,1438.42,2025-09-11 16:37:28
POL-8be14f15,8be14f15-b6cb-4720-bd01-9799a2adc0fb,VEH-5456,Basic,927.02,2025-09-11 16:37:28
POL-4ec25da5,4ec25da5-3707-4688-a984-996af0326468,VEH-5426,Premium,766.25,2025-09-11 16:37:28
POL-f2672570,f2672570-1002-4929-bf67-76997837b036,VEH-3440,Standard,1253.63,2025-09-11 16:37:28
POL-fabbb555,fabbb555-1915-4945-9d75-2c7d7e56afa8,VEH-6160,Premium,971.76,2025-09-11 16:37:28
POL-fca4a08d,fca4a08d-594e-484f-b8b7-b7e9d9aa61e1,VEH-8815,Basic,696.53,2025-09-11 16:37:28
POL-09c0d3e7,09c0d3e7-83a2-49e0-8355-24c103901880,VEH-9126,Basic,1293.51,2025-09-11 16:37:28
POL-0e795dfe,0e795dfe-4e7e-4086-8d64-22e61d2642e3,VEH-8609,Standard,1438.74,2025-09-11 16:37:28
POL-210ef1ec,210ef1ec-e053-4f1a-b6d4-630c520d9c7e,VEH-1896,Premium,1027.64,2025-09-11 16:37:28
POL-951b6dfb,951b6dfb-1515-4917-a883-aea2702e8635,VEH-5482,Basic,614.89,2025-09-11 16:37:28
POL-32760059,32760059-f375-44f2-8b76-dd16cd2df8c7,VEH-6577,Premium,1495.78,2025-09-11 16:37:28
POL-c21d5215,c21d5215-76b0-4555-be17-51eeca4eedd2,VEH-8862,Standard,1296.02,2025-09-11 16:37:28
POL-49284ef7,49284ef7-15f8-436b-88ba-e010af518326,VEH-1999,Premium,650.82,2025-09-11 16:37:28
POL-38fb6ffa,38fb6ffa-90c4-44d9-aea5-dbd92f4f3675,VEH-8978,Basic,1362.83,2025-09-11 16:37:28
POL-c99bef6b,c99bef6b-b003-4f6c-88b5-da05f8c9e059,VEH-2629,Premium,854.1,2025-09-11 16:37:28
POL-2d4d57b2,2d4d57b2-5dc9-4cd4-b91a-dc0ee4bb6557,VEH-6115,Basic,1069.81,2025-09-11 16:37:28
POL-bb5a3eef,bb5a3eef-bdbc-4324-993b-69e846e79eec,VEH-4831,Basic,1143.53,2025-09-11 16:37:28
POL-7a0fabdd,7a0fabdd-8943-44c8-9fdc-128f8a5993e2,VEH-8539,Standard,772.61,2025-09-11 16:37:28
POL-5fb8316f,5fb8316f-6987-453b-9be3-6036d66e9321,VEH-6996,Basic,1256.76,2025-09-11 16:37:28
POL-31a4e6b7,31a4e6b7-05ed-402a-952b-17d5aeb0c7a6,VEH-2207,Premium,886.33,2025-09-11 16:37:28
POL-f5d9c3f8,f5d9c3f8-9328-4006-91b3-521a8d1c833a,VEH-9772,Basic,653.29,2025-09-11 16:37:28
POL-bf5ba9d2,bf5ba9d2-a0c1-4fe1-b6de-3a8d1651d8ec,VEH-9347,Standard,1080.34,2025-09-11 16:37:28
POL-3c6f2338,3c6f2338-6643-4503-bc2e-ff22f27bbdb4,VEH-9993,Premium,984.95,2025-09-11 16:37:28
POL-f64a6ece,f64a6ece-2a88-423b-8aa4-e3fda15d1dae,VEH-3268,Standard,1210.7,2025-09-11 16:37:28
POL-b91e6998,b91e6998-6a2b-4cef-882e-24b280e7d505,VEH-7525,Standard,1298.82,2025-09-11 16:37:28
POL-6f10f124,6f10f124-ee28-425f-9ba4-99b65402d456,VEH-3224,Premium,1225.6,2025-09-11 16:37:28
POL-9599fa05,9599fa05-d72c-4aba-a374-9d60fff8d516,VEH-5858,Basic,752.88,2025-09-11 16:37:28
POL-c48d69d2,c48d69d2-aee5-435a-a4ec-21e505d2106a,VEH-2500,Premium,1339.76,2025-09-11 16:37:28
POL-8393dd3d,8393dd3d-2ac9-4fa6-af9c-cbc8e85bf040,VEH-7988,Premium,764.82,2025-09-11 16:37:28
POL-604621d4,604621d4-70e3-4955-ba99-aaf5bedd0246,VEH-9339,Basic,1145.36,2025-09-11 16:37:28
POL-02fd7a73,02fd7a73-7543-41cd-9887-004fc74dff3f,VEH-7105,Premium,1499.62,2025-09-11 16:37:28
POL-c1597df6,c1597df6-9b76-4e42-b2b0-0399ad36e6c3,VEH-1760,Standard,616.92,2025-09-11 16:37:28
POL-d6a0a56f,d6a0a56f-b6b6-4bf8-b38e-1405199502e3,VEH-5077,Basic,761.07,2025-09-11 16:37:28
POL-025a84b9,025a84b9-8ffa-4118-b785-668967daff9e,VEH-8428,Standard,1347.86,2025-09-11 16:37:28
POL-b79ad725,b79ad725-dc37-45bb-829a-1bc63dbb7021,VEH-7884,Premium,1243.11,2025-09-11 16:37:28
POL-f6f3b7f9,f6f3b7f9-ebb8-4e86-831a-3c6cb9036e02,VEH-1817,Standard,1422.88,2025-09-11 16:37:28
POL-ff2932bb,ff2932bb-8ce8-47a6-96f2-b6abecf5087d,VEH-4192,Standard,1475.56,2025-09-11 16:37:28
POL-45803aaf,45803aaf-dce5-4d85-bacf-c1c99f44bb50,VEH-8530,Premium,1090.79,2025-09-11 16:37:28
POL-232981b4,232981b4-8cd3-44b0-9cc7-c5c2552a3e4a,VEH-1313,Premium,726.74,2025-09-11 16:37:28
POL-f9397723,f9397723-9482-4ccc-b92c-43b4d5ec06b1,VEH-8859,Premium,692.07,2025-09-11 16:37:28
POL-ce3a2717,ce3a2717-136f-4dc7-868b-e1f69a5adc78,VEH-6383,Standard,618.93,2025-09-11 16:37:28
