driver_id,events_processed,hard_brakes,speeding,avg_speed,rolling_risk_score
873f0854-c9ae-4e3c-b04e-e59d9cf28c77,1226,16,27,71.6,170.4
95562c96-f0fe-4d18-b65e-7ab20d677443,1559,37,0,56.7,50.7
6320210b-5a7d-429a-b3b2-6009ef316d64,960,23,0,97.9,100.0
0d668988-55bf-47f7-b92c-6f40ac2fa419,1394,4,28,88.9,109.7
226b8b91-7576-45ff-ad3b-e75f7be67236,1230,33,18,88.7,130.6
ee2ebdb6-4463-4c18-8563-361ad645ab85,1195,5,10,62.8,188.0
1f92be92-d590-4867-bfaa-a6992aa4396d,1824,21,4,59.0,102.0
b68ed926-34da-47e0-9078-4f1eb2336b91,1144,10,11,49.1,102.0
7fa981da-07c2-456c-a4a7-4fbfdb5522f1,1738,47,2,33.9,160.6
f26713ae-917f-4a78-ae6e-b853afb6a84c,221,15,0,90.5,117.8
617530ae-f3bd-4823-9dad-d4718ad5e564,566,32,0,86.9,83.7
62d8edb5-1521-4c96-abcc-d1039c6ce0d5,1338,8,7,100.0,117.9
ba098529-3f0a-4c8b-9f5a-960e892f884a,430,5,9,99.8,71.1
b6b842c9-6409-4da2-af8e-c32135882c69,1582,15,10,68.9,76.5
3ac54ba1-24ec-4c46-9ec8-3a3767908cb0,187,28,11,83.8,124.8
14f12100-d202-4943-9631-27801ac5e8b0,1496,2,28,96.1,112.8
b1004962-0ea3-4c60-ac32-41c76a1c09ed,1223,19,12,89.5,187.2
4f057204-cb17-480d-a4cc-531bed0d2773,971,35,11,47.3,104.4
f6118f94-91ea-450d-92df-9eba9bfbbb04,1787,18,13,61.5,137.1
a19777e9-aa8a-4988-9250-6f8753442ac2,230,25,1,39.0,144.8
9a4e68ce-f3d7-4547-ae27-a58e13df63da,1785,2,28,96.8,52.0
c501ac66-440f-4a49-8dc2-1e7d9fadc22b,1432,18,18,72.4,149.5
04d73847-cf60-4f76-9c28-f8493f3efd17,869,19,17,46.0,76.7
6936490e-dc03-41f7-a0a0-2a675a88bf14,443,31,2,77.0,194.2
d8de7bf3-df50-4d81-a569-b93ddf294d50,1615,6,22,73.3,72.3
752ee9d0-bb90-4020-9411-0ae44caebbff,1537,40,16,55.1,112.2
9e145d2a-dbd7-4a17-97a1-a5c31d5e5b61,905,32,25,37.9,62.8
c1fe397f-a5db-4059-b19d-021624598c79,485,39,7,77.0,199.5
faceec0e-a231-4367-879a-e08ef9c28a73,1315,38,28,66.4,125.3
cf82dd0f-c696-4b53-820e-129a3ecf968b,1055,17,25,84.1,139.3
5d8cd350-df75-4c4a-8e07-fba568487399,376,39,9,66.4,60.1
e372eee1-42e5-47a8-b821-9e288462dd87,1284,0,25,89.7,162.5
7014fe56-1c38-4f15-b434-1ae709d82274,559,10,29,68.6,81.5
d2f91ecb-d36e-457a-be0c-607f828a6f31,1437,27,1,69.3,184.7
7359417b-9d17-417f-bea7-b6b0b6788017,121,24,18,91.4,80.8
3f185362-85e8-41ae-bf30-1b33ad1de847,352,49,8,58.2,78.6
3057145d-1557-4f50-a4bc-4b71260e13de,847,22,6,39.4,55.5
0083fb0e-9c8d-466a-a31a-eec4a636e2b2,956,30,3,32.0,120.8
bdcff929-e127-440d-b7f9-9d189a67062e,1684,29,25,82.9,134.7
2ccc082a-6cf7-4190-9cce-23de6cd7bb76,574,41,20,73.4,59.9
999e3e19-96cf-42df-b71d-46989007c4a5,1182,34,17,79.3,166.3
1d1813ec-3a2f-45b9-bc38-fb275ad68b37,610,6,12,44.9,118.0
55d6e10c-ecb3-4055-9e4f-355535c275fe,1805,15,10,39.5,128.7
cfd12350-72ce-4f19-b483-007da7effddc,1599,25,28,31.0,116.1
6976de76-93d8-4c32-a079-edc46ebc3b8b,799,47,23,54.5,110.1
902bd80a-e711-4d8c-8692-788197976e1d,1075,48,3,71.3,133.9
6e6b09ff-07fd-47f5-85b7-3bf944deb997,1906,1,24,57.5,73.3
80c9d182-4fa1-4fd7-bb7b-90d40efbfa42,289,0,20,60.6,77.3
e42b271e-0470-46e3-b463-2111d63bdf38,1057,47,28,93.3,179.3
bbf7a1e8-92d4-4825-89cf-fe0778583924,786,11,24,54.4,191.9
77f2a331-aa2e-48e8-a7fa-504c6cd66041,1057,4,3,66.0,106.0
0e8afccb-5a92-4c3b-8e2b-f46a17eef950,662,36,9,84.9,90.6
06558e1b-c28d-47ab-a54c-6bf9dc36746b,1999,31,4,57.8,146.6
37074067-0bd7-4967-9db6-02c73951deab,1690,8,8,73.5,111.3
493cfb40-4f9e-42f3-8b5a-34d93d26042d,1367,40,23,90.4,53.8
ebfa028a-ceca-48a0-aaaf-b11dd261bc42,931,34,2,96.5,73.4
a147620b-82ef-40e8-b08a-966b3971a110,1628,18,16,40.3,157.4
8be14f15-b6cb-4720-bd01-9799a2adc0fb,1254,47,2,94.9,148.8
4ec25da5-3707-4688-a984-996af0326468,1608,15,15,64.4,54.1
f2672570-1002-4929-bf67-76997837b036,1942,2,3,48.1,83.3
fabbb555-1915-4945-9d75-2c7d7e56afa8,746,19,17,62.1,84.7
fca4a08d-594e-484f-b8b7-b7e9d9aa61e1,120,23,16,98.6,150.8
09c0d3e7-83a2-49e0-8355-24c103901880,940,32,6,64.5,53.0
0e795dfe-4e7e-4086-8d64-22e61d2642e3,266,23,23,53.0,65.6
210ef1ec-e053-4f1a-b6d4-630c520d9c7e,1397,10,22,74.3,170.0
951b6dfb-1515-4917-a883-aea2702e8635,487,48,29,46.8,76.8
32760059-f375-44f2-8b76-dd16cd2df8c7,700,7,4,35.3,147.9
c21d5215-76b0-4555-be17-51eeca4eedd2,415,35,11,39.0,85.7
49284ef7-15f8-436b-88ba-e010af518326,113,37,16,39.0,64.9
38fb6ffa-90c4-44d9-aea5-dbd92f4f3675,341,39,22,40.6,86.5
c99bef6b-b003-4f6c-88b5-da05f8c9e059,876,19,12,39.7,158.3
2d4d57b2-5dc9-4cd4-b91a-dc0ee4bb6557,1469,34,22,74.9,178.4
bb5a3eef-bdbc-4324-993b-69e846e79eec,664,47,24,42.7,174.5
7a0fabdd-8943-44c8-9fdc-128f8a5993e2,997,24,2,54.2,109.6
5fb8316f-6987-453b-9be3-6036d66e9321,1463,34,8,92.8,150.2
31a4e6b7-05ed-402a-952b-17d5aeb0c7a6,191,24,29,63.2,80.7
f5d9c3f8-9328-4006-91b3-521a8d1c833a,1490,28,16,76.7,94.0
