record_id,trip_id,timestamp,speed_kmh,acceleration_ms2,braking_intensity,cornering_gforce,gps_lat,gps_lon,sampling_rate
REC-TRIP-873-0,TRIP-873f08-0,2025-09-11 16:37:28,70.88,1.8,0.57,0.85,32.71069223408283,-117.0550230538661,5
REC-TRIP-873-1,TRIP-873f08-0,2025-09-11 16:37:33,86.02,1.66,0.62,0.63,32.65257942826813,-117.057492390846,5
REC-TRIP-873-2,TRIP-873f08-0,2025-09-11 16:37:38,90.8,1.92,0.35,0.31,32.66736023016105,-117.09677350416918,5
REC-TRIP-873-3,TRIP-873f08-0,2025-09-11 16:37:43,60.48,-1.67,0.92,0.49,32.71363864866014,-117.14120907969854,5
REC-TRIP-873-4,TRIP-873f08-0,2025-09-11 16:37:48,100.48,-1.34,0.49,0.01,32.651074389517696,-117.07180542129905,5
REC-TRIP-873-5,TRIP-873f08-0,2025-09-11 16:37:53,43.22,-2.28,0.47,0.51,32.69370471881736,-117.10312483721992,5
REC-TRIP-873-6,TRIP-873f08-0,2025-09-11 16:37:58,38.36,-1.89,0.23,0.45,32.708140966388726,-117.13164184628664,5
REC-TRIP-873-7,TRIP-873f08-0,2025-09-11 16:38:03,90.02,-2.78,0.12,0.29,32.691900899552664,-117.11054089361218,5
REC-TRIP-873-8,TRIP-873f08-0,2025-09-11 16:38:08,63.37,-0.87,0.06,0.51,32.703155138041296,-117.12263589625604,5
REC-TRIP-873-9,TRIP-873f08-0,2025-09-11 16:38:13,30.07,2.6,0.26,0.47,32.7340658920626,-117.11465929478406,5
REC-TRIP-873-10,TRIP-873f08-0,2025-09-11 16:38:18,57.03,-2.52,0.95,0.94,32.67670601035809,-117.08546582864992,5
REC-TRIP-873-11,TRIP-873f08-0,2025-09-11 16:38:23,108.67,-1.59,0.92,0.58,32.65537020316173,-117.11826881135613,5
REC-TRIP-873-12,TRIP-873f08-0,2025-09-11 16:38:28,58.63,0.33,0.97,0.52,32.713070564431774,-117.14326842390035,5
REC-TRIP-873-13,TRIP-873f08-0,2025-09-11 16:38:33,71.75,-2.45,0.38,0.88,32.66126451520851,-117.05885893359682,5
REC-TRIP-873-14,TRIP-873f08-0,2025-09-11 16:38:38,87.47,-2.44,0.95,0.77,32.691990508701466,-117.05671769934803,5
REC-TRIP-873-15,TRIP-873f08-0,2025-09-11 16:38:43,58.73,-0.14,0.54,0.79,32.67600732583136,-117.09295911999827,5
REC-TRIP-873-16,TRIP-873f08-0,2025-09-11 16:38:48,53.08,-2.12,0.72,0.63,32.66619245432646,-117.07858470487061,5
REC-TRIP-873-17,TRIP-873f08-0,2025-09-11 16:38:53,117.65,0.65,0.66,0.26,32.727025231402486,-117.057685812168,5
REC-TRIP-873-18,TRIP-873f08-0,2025-09-11 16:38:58,101.81,1.27,0.24,0.02,32.677065404947456,-117.14377824180481,5
REC-TRIP-873-19,TRIP-873f08-0,2025-09-11 16:39:03,91.66,1.98,0.78,0.75,32.71597013738298,-117.11837077712893,5
REC-TRIP-873-20,TRIP-873f08-0,2025-09-11 16:39:08,95.02,-2.93,0.45,0.61,32.69758807369366,-117.05853842115246,5
REC-TRIP-873-21,TRIP-873f08-0,2025-09-11 16:39:13,75.25,2.89,0.9,0.93,32.73123377278941,-117.12177140027673,5
REC-TRIP-873-22,TRIP-873f08-0,2025-09-11 16:39:18,80.66,1.97,0.78,0.36,32.719596791693625,-117.13722534059623,5
REC-TRIP-873-23,TRIP-873f08-0,2025-09-11 16:39:23,52.98,0.32,0.53,0.4,32.662371804464115,-117.14916947634289,5
REC-TRIP-873-24,TRIP-873f08-0,2025-09-11 16:39:28,73.37,1.21,0.53,0.02,32.67420369049382,-117.10538436445407,5
REC-TRIP-873-25,TRIP-873f08-0,2025-09-11 16:39:33,57.74,1.6,0.12,0.97,32.696160015673065,-117.09498057928293,5
REC-TRIP-873-26,TRIP-873f08-0,2025-09-11 16:39:38,60.26,-2.79,0.9,0.01,32.71079721977858,-117.07050874372615,5
REC-TRIP-873-27,TRIP-873f08-0,2025-09-11 16:39:43,38.97,-1.04,1.0,0.3,32.73648692671639,-117.0811359003245,5
REC-TRIP-873-28,TRIP-873f08-0,2025-09-11 16:39:48,79.81,-0.65,0.93,0.66,32.718479463683394,-117.10881518739542,5
REC-TRIP-873-29,TRIP-873f08-0,2025-09-11 16:39:53,88.02,0.03,0.82,0.7,32.68568591920488,-117.09057183481494,5
REC-TRIP-873-30,TRIP-873f08-0,2025-09-11 16:39:58,85.17,-1.01,0.12,0.5,32.69126308599511,-117.08773652092076,5
REC-TRIP-873-31,TRIP-873f08-0,2025-09-11 16:40:03,30.35,-0.43,0.64,0.75,32.743785985984616,-117.07110804962197,5
REC-TRIP-873-32,TRIP-873f08-0,2025-09-11 16:40:08,73.98,-0.64,0.31,0.38,32.7452550560401,-117.08604759836243,5
REC-TRIP-873-33,TRIP-873f08-0,2025-09-11 16:40:13,100.73,1.26,0.94,0.33,32.73586340281156,-117.07402414740194,5
REC-TRIP-873-34,TRIP-873f08-0,2025-09-11 16:40:18,24.15,1.19,0.02,0.12,32.68728099075861,-117.05648988292175,5
REC-TRIP-873-35,TRIP-873f08-0,2025-09-11 16:40:23,43.55,0.01,0.2,0.22,32.72921483983953,-117.09594480280373,5
REC-TRIP-873-36,TRIP-873f08-0,2025-09-11 16:40:28,97.63,-0.78,0.73,0.75,32.7111537393799,-117.11970737997738,5
REC-TRIP-873-37,TRIP-873f08-0,2025-09-11 16:40:33,29.13,-1.52,0.52,0.58,32.719161347090115,-117.11517648108928,5
REC-TRIP-873-38,TRIP-873f08-0,2025-09-11 16:40:38,24.77,-0.77,0.78,0.53,32.66392987193551,-117.14721835180588,5
REC-TRIP-873-39,TRIP-873f08-0,2025-09-11 16:40:43,61.34,-0.7,0.57,0.34,32.72897366103788,-117.1229011856432,5
REC-TRIP-873-40,TRIP-873f08-0,2025-09-11 16:40:48,95.23,-1.5,0.68,0.99,32.66561106844556,-117.09595050864118,5
REC-TRIP-873-41,TRIP-873f08-0,2025-09-11 16:40:53,23.95,2.59,0.51,0.31,32.749473197726815,-117.12677905241597,5
REC-TRIP-873-42,TRIP-873f08-0,2025-09-11 16:40:58,27.12,-0.73,0.41,0.61,32.671083248985994,-117.08691990340232,5
REC-TRIP-873-43,TRIP-873f08-0,2025-09-11 16:41:03,27.64,-1.21,0.19,0.08,32.72064242592673,-117.06850626067485,5
REC-TRIP-873-44,TRIP-873f08-0,2025-09-11 16:41:08,108.34,1.93,0.38,0.51,32.66351319475219,-117.1345295182391,5
REC-TRIP-873-45,TRIP-873f08-0,2025-09-11 16:41:13,109.07,-2.29,0.96,0.03,32.67853493895496,-117.09809486211057,5
REC-TRIP-873-46,TRIP-873f08-0,2025-09-11 16:41:18,108.86,-0.02,0.76,0.9,32.66109850469125,-117.14077185070083,5
REC-TRIP-873-47,TRIP-873f08-0,2025-09-11 16:41:23,33.48,1.63,0.19,0.41,32.671476328671964,-117.06836972629964,5
REC-TRIP-873-48,TRIP-873f08-0,2025-09-11 16:41:28,82.31,1.81,0.08,0.38,32.69650761249379,-117.13778963718691,5
REC-TRIP-873-49,TRIP-873f08-0,2025-09-11 16:41:33,62.58,-1.32,0.57,0.18,32.70630584523311,-117.12327460963749,5
REC-TRIP-873-0,TRIP-873f08-1,2025-09-11 16:37:28,60.07,-2.21,0.65,0.71,32.727614453280715,-117.05818993011007,5
REC-TRIP-873-1,TRIP-873f08-1,2025-09-11 16:37:33,47.67,0.79,0.71,0.0,32.66392832966948,-117.05116357796649,5
REC-TRIP-873-2,TRIP-873f08-1,2025-09-11 16:37:38,69.52,-2.11,0.24,0.28,32.68801102100355,-117.12971932397613,5
REC-TRIP-873-3,TRIP-873f08-1,2025-09-11 16:37:43,95.03,2.83,0.49,0.43,32.74311655042451,-117.09162289437661,5
REC-TRIP-873-4,TRIP-873f08-1,2025-09-11 16:37:48,21.05,-0.76,0.46,0.19,32.74150722181655,-117.13419358100424,5
REC-TRIP-873-5,TRIP-873f08-1,2025-09-11 16:37:53,41.22,-0.39,0.93,0.27,32.684774540951324,-117.13406855218531,5
REC-TRIP-873-6,TRIP-873f08-1,2025-09-11 16:37:58,26.67,-2.65,0.39,0.83,32.658975232284874,-117.06816272701404,5
REC-TRIP-873-7,TRIP-873f08-1,2025-09-11 16:38:03,46.08,-0.28,0.3,0.89,32.747122946259594,-117.0720561411971,5
REC-TRIP-873-8,TRIP-873f08-1,2025-09-11 16:38:08,74.18,-1.0,0.06,0.8,32.663967786831336,-117.08610466135362,5
REC-TRIP-873-9,TRIP-873f08-1,2025-09-11 16:38:13,93.5,-1.2,0.87,0.6,32.73121487831523,-117.08421465190982,5
REC-TRIP-873-10,TRIP-873f08-1,2025-09-11 16:38:18,34.76,-0.75,0.47,0.91,32.70626513315403,-117.12469979764842,5
REC-TRIP-873-11,TRIP-873f08-1,2025-09-11 16:38:23,56.89,-1.22,0.73,0.58,32.744893283103835,-117.08368904343027,5
REC-TRIP-873-12,TRIP-873f08-1,2025-09-11 16:38:28,49.73,-1.12,0.53,0.98,32.657337395315125,-117.0556681892633,5
REC-TRIP-873-13,TRIP-873f08-1,2025-09-11 16:38:33,114.31,-1.23,0.7,0.61,32.70218182871266,-117.07230152713048,5
REC-TRIP-873-14,TRIP-873f08-1,2025-09-11 16:38:38,89.07,-0.84,0.59,0.31,32.66970375991895,-117.06867936550115,5
REC-TRIP-873-15,TRIP-873f08-1,2025-09-11 16:38:43,22.95,1.46,0.62,0.37,32.68297851733036,-117.06193534513113,5
REC-TRIP-873-16,TRIP-873f08-1,2025-09-11 16:38:48,25.57,1.23,0.13,0.13,32.68131293334577,-117.143687863982,5
REC-TRIP-873-17,TRIP-873f08-1,2025-09-11 16:38:53,29.32,2.34,0.88,0.15,32.68706152005916,-117.13605778509343,5
REC-TRIP-873-18,TRIP-873f08-1,2025-09-11 16:38:58,93.06,0.41,0.78,0.19,32.66034558810448,-117.0836376526372,5
REC-TRIP-873-19,TRIP-873f08-1,2025-09-11 16:39:03,88.72,-0.62,0.05,0.15,32.70029041315879,-117.06831716664291,5
REC-TRIP-873-20,TRIP-873f08-1,2025-09-11 16:39:08,85.8,-1.87,0.68,0.23,32.69062613747267,-117.07363167319421,5
REC-TRIP-873-21,TRIP-873f08-1,2025-09-11 16:39:13,24.02,2.56,0.08,0.81,32.66174231865559,-117.10626179929795,5
REC-TRIP-873-22,TRIP-873f08-1,2025-09-11 16:39:18,48.8,2.16,0.03,0.06,32.69543658925366,-117.08115458166107,5
REC-TRIP-873-23,TRIP-873f08-1,2025-09-11 16:39:23,62.34,-1.34,0.41,0.36,32.73753760281532,-117.07154067655105,5
REC-TRIP-873-24,TRIP-873f08-1,2025-09-11 16:39:28,55.98,0.65,0.22,0.67,32.65438469143629,-117.14879847177413,5
REC-TRIP-873-25,TRIP-873f08-1,2025-09-11 16:39:33,31.14,0.64,0.29,0.3,32.7437374977376,-117.06422131296894,5
REC-TRIP-873-26,TRIP-873f08-1,2025-09-11 16:39:38,106.14,1.54,0.28,0.44,32.656498325953066,-117.05460069595972,5
REC-TRIP-873-27,TRIP-873f08-1,2025-09-11 16:39:43,78.64,-2.96,0.06,0.05,32.712375002891434,-117.10269757354705,5
REC-TRIP-873-28,TRIP-873f08-1,2025-09-11 16:39:48,102.3,-2.86,0.18,0.27,32.65257811794469,-117.12017842766483,5
REC-TRIP-873-29,TRIP-873f08-1,2025-09-11 16:39:53,33.25,2.46,0.9,0.56,32.6997258052243,-117.14206565745693,5
REC-TRIP-873-30,TRIP-873f08-1,2025-09-11 16:39:58,23.53,2.11,0.21,0.28,32.72599640320531,-117.0824867675084,5
REC-TRIP-873-31,TRIP-873f08-1,2025-09-11 16:40:03,119.66,1.79,0.33,0.99,32.665015390641145,-117.06799574623358,5
REC-TRIP-873-32,TRIP-873f08-1,2025-09-11 16:40:08,90.42,0.24,0.82,0.49,32.65232127180078,-117.08337900233614,5
REC-TRIP-873-33,TRIP-873f08-1,2025-09-11 16:40:13,44.09,-1.33,0.33,0.27,32.730781231290216,-117.05150591674567,5
REC-TRIP-873-34,TRIP-873f08-1,2025-09-11 16:40:18,119.44,0.91,0.15,0.65,32.68141325385031,-117.10063463816859,5
REC-TRIP-873-35,TRIP-873f08-1,2025-09-11 16:40:23,56.16,0.53,0.68,0.38,32.69998094913962,-117.1078111374115,5
REC-TRIP-873-36,TRIP-873f08-1,2025-09-11 16:40:28,28.34,1.02,0.12,0.92,32.709144630158065,-117.09708259141219,5
REC-TRIP-873-37,TRIP-873f08-1,2025-09-11 16:40:33,50.24,0.79,0.94,0.56,32.72388811988223,-117.14254159854757,5
REC-TRIP-873-38,TRIP-873f08-1,2025-09-11 16:40:38,102.91,2.47,0.73,0.31,32.73835565832622,-117.0628254763239,5
REC-TRIP-873-39,TRIP-873f08-1,2025-09-11 16:40:43,82.1,-2.93,0.69,0.19,32.68370741688055,-117.0559169508317,5
REC-TRIP-873-40,TRIP-873f08-1,2025-09-11 16:40:48,33.64,2.09,0.59,0.08,32.69967264956195,-117.12372426589975,5
REC-TRIP-873-41,TRIP-873f08-1,2025-09-11 16:40:53,116.69,-1.36,0.47,0.94,32.724390610418496,-117.05712962154395,5
REC-TRIP-873-42,TRIP-873f08-1,2025-09-11 16:40:58,108.71,2.34,0.24,0.21,32.65756792513861,-117.10241414275598,5
REC-TRIP-873-43,TRIP-873f08-1,2025-09-11 16:41:03,96.16,-2.74,0.08,0.25,32.708140728084764,-117.14124945131924,5
REC-TRIP-873-44,TRIP-873f08-1,2025-09-11 16:41:08,30.19,0.04,0.22,0.26,32.65613098157327,-117.0991695728872,5
REC-TRIP-873-45,TRIP-873f08-1,2025-09-11 16:41:13,102.85,0.04,0.21,0.89,32.70145965027664,-117.11868554089396,5
REC-TRIP-873-46,TRIP-873f08-1,2025-09-11 16:41:18,58.38,2.73,0.16,0.72,32.72697270427413,-117.05855816309422,5
REC-TRIP-873-47,TRIP-873f08-1,2025-09-11 16:41:23,76.3,-2.13,0.04,0.04,32.67200869166344,-117.09295938392836,5
REC-TRIP-873-48,TRIP-873f08-1,2025-09-11 16:41:28,71.92,-1.92,0.41,0.49,32.742214617792165,-117.1021921767795,5
REC-TRIP-873-49,TRIP-873f08-1,2025-09-11 16:41:33,36.77,-0.17,0.31,0.05,32.65527372136114,-117.08302241931861,5
REC-TRIP-873-0,TRIP-873f08-2,2025-09-11 16:37:28,68.09,1.07,0.19,0.78,32.681426085788,-117.10635302560573,5
REC-TRIP-873-1,TRIP-873f08-2,2025-09-11 16:37:33,96.11,1.79,0.2,0.23,32.72789739321633,-117.08031039927661,5
REC-TRIP-873-2,TRIP-873f08-2,2025-09-11 16:37:38,82.98,-2.78,0.57,0.76,32.675552958729796,-117.12246553370572,5
REC-TRIP-873-3,TRIP-873f08-2,2025-09-11 16:37:43,28.48,-0.56,0.36,0.84,32.67543362339677,-117.08393235172103,5
